Time_s,MSD_lattice_units2
1.5114072954605904e-06,1452.0
1.5131220107663564e-06,1526.0
1.516391245560538e-06,1610.0
1.5176602022050005e-06,1694.0
1.5182971790272018e-06,1686.0
1.5187096514916966e-06,1610.0
1.5187662081864167e-06,1604.0
1.522374133596212e-06,1530.0
1.5309498242237521e-06,1610.0
1.5314022002085503e-06,1690.0
1.53277503482727e-06,1774.0
1.5342356286352552e-06,1772.0
1.5362761600299658e-06,1694.0
1.5370894293719296e-06,1698.0
1.5446124935786513e-06,1690.0
1.545173715874992e-06,1774.0
1.5452554166157297e-06,1866.0
1.5495229039812567e-06,1874.0
1.5501265268295875e-06,1962.0
1.550761808960156e-06,1886.0
1.5516331833270342e-06,1976.0
1.5552282359664449e-06,1962.0
1.5564997748002357e-06,1866.0
1.5612645266728667e-06,1962.0
1.563220525321325e-06,2054.0
1.5645064775806319e-06,2042.0
1.5653823316377843e-06,1946.0
1.5660241451392996e-06,1862.0
1.566647914014362e-06,1874.0
1.5735218189799134e-06,1968.0
1.5748249973129548e-06,2050.0
1.576554548746517e-06,2134.0
1.5768022404124802e-06,2222.0
1.5781319334453753e-06,2226.0
1.5784522710513422e-06,2136.0
1.579269341076085e-06,2054.0
1.5809656602153782e-06,2050.0
1.5823553973706188e-06,2150.0
1.582592356023648e-06,2250.0
1.5866655283209921e-06,2148.0
1.5890894286466132e-06,2150.0
1.592948838027714e-06,2234.0
1.5929679449033177e-06,2324.0
1.5950957517477915e-06,2238.0
1.5958255313655644e-06,2246.0
1.5960533743846918e-06,2344.0
1.59636286887234e-06,2262.0
1.5963921224381486e-06,2246.0
1.5981549400404948e-06,2142.0
1.6008936497676947e-06,2226.0
1.6012653481237942e-06,2132.0
1.6021345231431844e-06,2226.0
1.608314484112027e-06,2222.0
1.6085926802600479e-06,2214.0
1.6098569734340408e-06,2120.0
1.6184828139818101e-06,2034.0
1.6206904405779296e-06,2132.0
1.623998162097743e-06,2126.0
1.6241964868408782e-06,2214.0
1.6256786785329363e-06,2306.0
1.6289485002243836e-06,2214.0
1.6332660403621446e-06,2308.0
1.6372886068948117e-06,2314.0
1.6391430267681277e-06,2410.0
1.6404687836798604e-06,2418.0
1.640643632575436e-06,2414.0
1.642362188645553e-06,2322.0
1.6427400662467234e-06,2426.0
1.6433559521122902e-06,2336.0
1.643446658535813e-06,2426.0
1.6438237361414263e-06,2430.0
1.6445493587731526e-06,2344.0
1.6479083353846792e-06,2354.0
1.6483636000871572e-06,2274.0
1.6500957444570277e-06,2294.0
1.6523232241145633e-06,2386.0
1.666334822551445e-06,2466.0
1.6679029041168491e-06,2482.0
1.6712040875325318e-06,2600.0
1.6713927772362584e-06,2502.0
1.6736027111348093e-06,2526.0
1.6745866070990542e-06,2502.0
1.6766073017920335e-06,2522.0
1.677651068545914e-06,2426.0
1.6829951069806772e-06,2404.0
1.6850268007479188e-06,2426.0
1.6881507172913332e-06,2502.0
1.6952326095744854e-06,2582.0
1.6967451551865673e-06,2482.0
1.6977581074669507e-06,2582.0
1.6996887221490951e-06,2482.0
1.7031954415962686e-06,2466.0
1.7057585519593645e-06,2354.0
1.7188189644413039e-06,2454.0
1.7224472187727094e-06,2438.0
1.7254699953061742e-06,2354.0
1.7268105706581088e-06,2262.0
1.7274025996445677e-06,2254.0
1.7276850714991764e-06,2344.0
1.7323126594664286e-06,2262.0
1.742838552951322e-06,2344.0
1.7437949334079318e-06,2354.0
1.74492226736014e-06,2344.0
1.7471405461730595e-06,2338.0
1.749136543760661e-06,2426.0
1.7493071684447087e-06,2518.0
1.749895959231223e-06,2414.0
1.7507653414662586e-06,2322.0
1.7542721232028592e-06,2222.0
1.7556171342962808e-06,2134.0
1.756572917296273e-06,2136.0
1.7598096523393637e-06,2222.0
1.759832394384702e-06,2322.0
1.7617112401745442e-06,2426.0
1.7632881409607688e-06,2442.0
1.7674092707706013e-06,2354.0
1.7726354466890382e-06,2442.0
1.779065445752781e-06,2462.0
1.7802469860537577e-06,2462.0
1.7808976165680485e-06,2574.0
1.7860495852211534e-06,2572.0
1.787191541739389e-06,2598.0
1.7893924789345526e-06,2514.0
1.7944719955739166e-06,2518.0
1.7989281769532915e-06,2440.0
1.7999740145290245e-06,2326.0
1.8097067782692375e-06,2358.0
1.8107937994932844e-06,2440.0
1.8148312924599704e-06,2410.0
1.8173562520592689e-06,2404.0
1.8174500048349317e-06,2378.0
1.820950439006226e-06,2270.0
1.8245653108720416e-06,2270.0
1.8256234759933633e-06,2376.0
1.8258365344381946e-06,2402.0
1.8360238884489081e-06,2294.0
1.8367760320846895e-06,2188.0
1.837388371372498e-06,2110.0
1.8384466644240773e-06,2190.0
1.8465505290524822e-06,2168.0
1.8492791992053043e-06,2270.0
1.8501082117233535e-06,2294.0
1.8522459526344496e-06,2378.0
1.8535102517790873e-06,2466.0
1.8585863572550484e-06,2378.0
1.8589435972569946e-06,2486.0
1.863449220814195e-06,2572.0
1.863500469694734e-06,2486.0
1.8700608098396611e-06,2572.0
1.8710579277147714e-06,2686.0
1.8725039854474975e-06,2778.0
1.876306514113934e-06,2894.0
1.8770836757960415e-06,3014.0
1.87798019772883e-06,2894.0
1.8813710297579561e-06,2870.0
1.8869297792144338e-06,2776.0
1.8877238956315182e-06,2754.0
1.8900215085675853e-06,2662.0
1.8902440241269581e-06,2662.0
1.890743586918867e-06,2686.0
1.8908107467322983e-06,2574.0
1.892646196527903e-06,2462.0
1.8986902559386375e-06,2550.0
1.9027474975589012e-06,2662.0
1.9046479753664171e-06,2642.0
1.9051939308601768e-06,2550.0
1.907214608124045e-06,2462.0
1.9126024401215544e-06,2354.0
1.913363396008278e-06,2270.0
1.9169280707270336e-06,2274.0
1.917679346756714e-06,2196.0
1.921136721848067e-06,2206.0
1.9234560200173197e-06,2110.0
1.923591623156261e-06,2184.0
1.924061801918446e-06,2294.0
1.9247263829820476e-06,2386.0
1.928241672404597e-06,2502.0
1.9301522177545932e-06,2486.0
1.9301992381311768e-06,2386.0
1.9314364845186087e-06,2404.0
1.931658206483398e-06,2330.0
1.935577299552455e-06,2260.0
1.9412484987282977e-06,2146.0
1.9425780893126325e-06,2260.0
1.9468207804561392e-06,2354.0
1.9578332135679612e-06,2382.0
1.9591601074971377e-06,2316.0
1.9618225348919484e-06,2294.0
1.9626301067179593e-06,2198.0
1.965890298645874e-06,2222.0
1.971147998428828e-06,2342.0
1.9760366616114385e-06,2312.0
1.9767991813896887e-06,2406.0
1.979727597875779e-06,2438.0
1.9802963625956506e-06,2504.0
1.9827688418155575e-06,2574.0
1.9828625700792243e-06,2504.0
1.9840331219040943e-06,2482.0
1.984306787860938e-06,2394.0
